,Match Number,City,Stadium,Home Team,Away Team,Batting-Friendly Index,Bowling-Friendly Index,Batting-Friendly Index(matchwise),Bowling-Friendly Index(matchwise),RPO_zscore,RPW_zscore,RPO,RPW
10,11,Guwahati,Barsapara Cricket Stadium,Rajasthan Royals,Chennai Super Kings,0.4409505002698413,0.484069690111111,-0.5293160664920636,-0.5856462877301587,-1.600115952729584,-1.3284481970354889,6.91,19.28
11,12,Mumbai,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,1.176203389,1.436370827,-0.289279011,-0.319073355,1.6992336272208193,0.73370549630898,9.51,29.77
12,13,Lucknow,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Punjab Kings,0.4409505002698413,0.484069690111111,-0.5293160664920636,-0.5856462877301587,-1.600115952729584,-1.3284481970354889,6.91,19.28
13,14,Bengaluru,M. Chinnaswamy Stadium,Royal Challengers Bengaluru,Gujarat Titans,0.963742079,0.911975237,-0.063561725,-0.363404903,-0.0392698052915078,-0.2079261710999813,8.14,24.98
14,15,Kolkata,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,1.156499131,1.317777427,0.219909515,0.008796043,-0.6356906908979278,-0.6502374971271553,7.67,22.73
15,16,Lucknow,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Mumbai Indians,0.4409505002698413,0.484069690111111,-0.5293160664920636,-0.5856462877301587,-1.600115952729584,-1.3284481970354889,6.91,19.28
16,17,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,-0.840897704,-0.861788427,-2.162777101,-1.773301974,0.5571510803149098,0.9990922919252846,8.61,31.12
17,18,Chandigarh,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Rajasthan Royals,0.963742079,0.911975237,-0.063561725,-0.319073355,-1.600115952729584,-1.3284481970354889,6.91,19.28
18,19,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Gujarat Titans,-0.636501251,-0.565918265,-1.83606026,-1.449415813,0.8870860383099499,0.3778906073715647,8.87,27.96
19,20,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,1.176203389,1.436370827,-0.289279011,-0.319073355,1.6992336272208193,0.73370549630898,9.51,29.77
20,21,Kolkata,Eden Gardens,Kolkata Knight Riders,Lucknow Super Giants,1.156499131,1.317777427,0.219909515,0.008796043,-0.6356906908979278,-0.6502374971271553,7.67,22.73
21,22,Chandigarh,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Chennai Super Kings,0.963742079,0.911975237,-0.063561725,-0.319073355,-1.600115952729584,-1.3284481970354889,6.91,19.28
22,23,Ahmedabad,Narendra Modi Stadium,Gujarat Titans,Rajasthan Royals,0.963742079,0.911975237,-0.063561725,-0.319073355,0.2652855405500681,-0.115532249663194,8.38,25.45
23,24,Bengaluru,M. Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,0.963742079,0.911975237,-0.063561725,-0.363404903,-0.0392698052915078,-0.2079261710999813,8.14,24.98
24,25,Chennai,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,-0.840897704,-0.861788427,-2.162777101,-1.773301974,0.5571510803149098,0.9990922919252846,8.61,31.12
25,26,Lucknow,BRSABV Ekana Cricket Stadium,Lucknow Super Giants,Gujarat Titans,0.4409505002698413,0.484069690111111,-0.5293160664920636,-0.5856462877301587,-1.600115952729584,-1.3284481970354889,6.91,19.28
26,27,Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Punjab Kings,-0.636501251,-0.565918265,-1.83606026,-1.449415813,0.8870860383099499,0.3778906073715647,8.87,27.96
27,28,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bengaluru,0.1824235,0.271170164,-0.012615673,-0.110307034,0.1891467040896735,0.7789195429695356,8.32,30.0
28,29,Delhi,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,0.963742079,0.911975237,-0.063561725,-0.319073355,0.2652855405500681,-0.115532249663194,8.38,25.45
